algorithm,num_agents,starts,goals,D_SAFE,T_TAR,success,total_time_s,ct_nodes,find_path_calls,per_uav_path_length,total_path_length,min_pairwise_dist,per_uav_arrival_time,arrival_time_std,conflict_count,notes
MCBS,2,"[(20, 20, 0), (80, 80, 0)]","[(80, 80, 0), (20, 20, 0)]",3,1,FALSE,65.0447,25,118,[],0,0,[],0,,timeout after 60s
Sparse_Astar_Only,2,"[(20, 20, 0), (80, 80, 0)]","[(80, 80, 0), (20, 20, 0)]",3,1,TRUE,0.0244,0,2,"[168.8528137423857, 168.85281374238602]",337.7056275,0.852813742,"[86.0, 86.0]",0,7,"baseline conflicts: {'vertex': 3, 'edge': 4, 'time': 0, 'total': 7}"
MCBS,3,"[(20, 20, 0), (80, 20, 0), (50, 80, 0)]","[(80, 80, 0), (20, 80, 0), (50, 20, 0)]",3,1,FALSE,65.0198,26,112,[],0,0,[],0,,timeout after 60s
Sparse_Astar_Only,3,"[(20, 20, 0), (80, 20, 0), (50, 80, 0)]","[(80, 80, 0), (20, 80, 0), (50, 20, 0)]",3,1,TRUE,0.055,0,3,"[168.8528137423857, 168.8528137423857, 119.0]",456.7056275,0.60303038,"[86.0, 86.0, 61.0]",11.78511302,9,"baseline conflicts: {'vertex': 4, 'edge': 4, 'time': 1, 'total': 9}"
MCBS,2,"[(20, 30, 0), (20, 70, 0)]","[(80, 30, 0), (80, 70, 0)]",3,1,TRUE,0.0281,1,2,"[119.0, 119.0]",238,40,"[61.0, 61.0]",0,,success
Sparse_Astar_Only,2,"[(20, 30, 0), (20, 70, 0)]","[(80, 30, 0), (80, 70, 0)]",3,1,TRUE,0.0336,0,2,"[119.0, 119.0]",238,40,"[61.0, 61.0]",0,0,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 0, 'total': 0}"
MCBS,3,"[(20, 20, 0), (20, 50, 0), (20, 80, 0)]","[(80, 20, 0), (80, 50, 0), (80, 80, 0)]",3,1,TRUE,0.0491,1,3,"[119.0, 119.0, 119.0]",357,30,"[61.0, 61.0, 61.0]",0,,success
Sparse_Astar_Only,3,"[(20, 20, 0), (20, 50, 0), (20, 80, 0)]","[(80, 20, 0), (80, 50, 0), (80, 80, 0)]",3,1,TRUE,0.0497,0,3,"[119.0, 119.0, 119.0]",357,30,"[61.0, 61.0, 61.0]",0,0,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 0, 'total': 0}"
MCBS,2,"[(15, 30, 0), (70, 60, 0)]","[(85, 70, 0), (25, 25, 0)]",3,1,TRUE,1.8084,3,12,"[160.6225774829855, 138.14939028428026]",298.7719678,19.309243,"[82.0, 83.0]",0.5,,success
Sparse_Astar_Only,2,"[(15, 30, 0), (70, 60, 0)]","[(85, 70, 0), (25, 25, 0)]",3,1,TRUE,0.0374,0,2,"[160.6225774829855, 113.00877125495694]",273.6313487,5.703927107,"[82.0, 58.0]",12,1,"baseline conflicts: {'vertex': 0, 'edge': 0, 'time': 1, 'total': 1}"
MCBS,2,"[(20, 20, 0), (80, 80, 0)]","[(80, 80, 0), (20, 20, 0)]",3,1,TRUE,0.1975,48,96,"[85.6760675344233, 85.26517601307701]",170.9412435,3.556830041,"[44.0, 44.0]",0,,success
Sparse_Astar_Only,2,"[(20, 20, 0), (80, 80, 0)]","[(80, 80, 0), (20, 20, 0)]",3,1,TRUE,0.0033,0,2,"[84.85281374238568, 84.85281374238565]",169.7056275,0.852813742,"[43.0, 43.0]",0,3,"baseline conflicts: {'vertex': 1, 'edge': 2, 'time': 0, 'total': 3}"
